source,target,video_id,channel_id,created_utc,comment_id
e0f10da314d565bc,ac23bd3f4e9e689e,goU1JsRbJ84,UCeQ8yzZhjJ7svzXBqYzmyMA,2026-05-14 11:35:45+00:00,UgwuACguzHVqtvzSOfd4AaABAg.AWiLDUDWRxZAWmpmh-S2R4
d9d869370af0b3df,ac23bd3f4e9e689e,goU1JsRbJ84,UCeQ8yzZhjJ7svzXBqYzmyMA,2026-05-14 16:32:47+00:00,UgwuACguzHVqtvzSOfd4AaABAg.AWiLDUDWRxZAWnMmFx6Xjm
8e5386285b881aea,9bf3ffb9ab398277,dBAp6nwvYdg,UCIHdDJ0tjn_3j-FS7s_X1kQ,2026-04-26 23:15:34+00:00,UgwuvZ7pemxFmC3DLJF4AaABAg.AVvFer_ID-FAW4jZYiuW7t
73a174e3842b3632,db1d369ec473e06b,MXKheUrYINM,UCNye-wNBqNL5ZzHSJj3l8Bg,2026-04-30 11:46:00+00:00,UgwvObnwiBcCAo8mtv94AaABAg.AWBV8b_AgmlAWDnp_bP2iv
4e37cdff547997dd,db1d369ec473e06b,MXKheUrYINM,UCNye-wNBqNL5ZzHSJj3l8Bg,2026-04-30 14:46:54+00:00,UgwvObnwiBcCAo8mtv94AaABAg.AWBV8b_AgmlAWE7XWqwTR0
9cce71e9da88d8d9,db1d369ec473e06b,MXKheUrYINM,UCNye-wNBqNL5ZzHSJj3l8Bg,2026-04-30 17:29:49+00:00,UgwvObnwiBcCAo8mtv94AaABAg.AWBV8b_AgmlAWEQAmLyyFs
dd0c824ceed17691,d0642ab7a1730464,AwkYY3l0IVY,UC83jt4dlz1Gjl58fzQrrKZg,2026-04-21 09:07:39+00:00,UgwwImQwFWoLzHbn4ll4AaABAg.AVrG1txEOUeAVrLYt1ErEM
c4c5d06a9342ce65,950e402106fc5646,dBAp6nwvYdg,UCIHdDJ0tjn_3j-FS7s_X1kQ,2026-04-22 19:53:44+00:00,UgwwMamN3MVL9cjrOFJ4AaABAg.AVuv-xg-AZTAVv4Hp_PHi0
c4c5d06a9342ce65,950e402106fc5646,dBAp6nwvYdg,UCIHdDJ0tjn_3j-FS7s_X1kQ,2026-04-22 20:24:30+00:00,UgwwMamN3MVL9cjrOFJ4AaABAg.AVuv-xg-AZTAVv7oBNWp8u
214d2a3e2a014745,1764fd80567fb8f3,U-I0nbysAuQ,UCknLrEdhRCp1aegoMqRaCZg,2026-03-01 12:26:14+00:00,UgwxBzv3lWdKE-LmLmt4AaABAg.AToJj_kYFgAAToNjl7X5Bn
7ba2262d379ef4c3,3d96be6369689e4b,QruqqIqNt38,UC6-y2wMNk24Fi-J2qbTTYQA,2026-05-07 22:52:03+00:00,UgwxTrLinA0gnoLg2wR4AaABAg.AWX-8oDo2k2AWX0c1H38yu
af148233fb745650,a25e67279a6eb0ca,jBQBZuH2F5o,UC_gUM8rL-Lrg6O3adPW9K1g,2026-03-12 13:02:58+00:00,UgwyQARgRraJdmQ7Qrp4AaABAg.AUFC243oAogAUFlgSRskF0
a47d78215a9874b9,a25e67279a6eb0ca,jBQBZuH2F5o,UC_gUM8rL-Lrg6O3adPW9K1g,2026-03-13 00:39:26+00:00,UgwyQARgRraJdmQ7Qrp4AaABAg.AUFC243oAogAUH0OR56DM8
2e1106c0f688e006,5697426d3b1b0695,pu4unt4_3MA,UC6RJ7-PaXg6TIH2BzZfTV7w,2026-03-12 06:36:29+00:00,UgwyxjDpXJXqe7xQ_9d4AaABAg.AUDJRdsSycDAUF4ShzkkfG
8d4c187b01ea7919,5697426d3b1b0695,pu4unt4_3MA,UC6RJ7-PaXg6TIH2BzZfTV7w,2026-03-13 03:00:50+00:00,UgwyxjDpXJXqe7xQ_9d4AaABAg.AUDJRdsSycDAUHG_5aEK_d
95f853b1aba14f0c,25e1f7c9e50bc427,HM_ooU-SIQs,UCeY0bbntWzzVIaj2z3QigXg,2026-04-23 22:14:17+00:00,Ugx-SwU4OqqhoK3aDCh4AaABAg.AVt5LSScdv3AVxuA9JGAL_
a75d07b5ab1e5545,25e1f7c9e50bc427,HM_ooU-SIQs,UCeY0bbntWzzVIaj2z3QigXg,2026-04-24 15:55:37+00:00,Ugx-SwU4OqqhoK3aDCh4AaABAg.AVt5LSScdv3AVzncWK9Eri
c20172153f7673a2,8ae0b30bbb3fa7b0,ptRGY5xHIGg,UCNye-wNBqNL5ZzHSJj3l8Bg,2026-03-17 09:05:40+00:00,Ugx07qwjgWBO-2q9X2Z4AaABAg.AURTNvRKdm1AUSDVmq6OuG
e330c8e7658a0c05,5c9c0d225bc752df,wtniPyo5ct0,UCw8Fc5R0Q5yyS3KrDCPM3xg,2026-04-13 21:00:15+00:00,Ugx0INZoa0rNM8Y7Y954AaABAg.AVYkHPytch3AVZ0k5JJ5BG
2073d2e8aec4b8c9,5c9c0d225bc752df,wtniPyo5ct0,UCw8Fc5R0Q5yyS3KrDCPM3xg,2026-04-13 21:06:55+00:00,Ugx0INZoa0rNM8Y7Y954AaABAg.AVYkHPytch3AVZ1VzYOtnV
42b771f4dd220347,4fa644e8dd9a350c,U-I0nbysAuQ,UCknLrEdhRCp1aegoMqRaCZg,2026-03-01 14:07:20+00:00,Ugx0Q2Zpfhcrlsr18AN4AaABAg.AToV3XhLquwAToZJ95UjlL
04f816501e3c8079,f3a715132919b829,i2Q8k8M49y4,UCckHqySbfy5FcPP6MD_S-Yg,2026-03-07 14:05:09+00:00,Ugx0k6rRStHonuX2CHR4AaABAg.AU2w2eWo31MAU3-pVj4qnq
d45d57e945980c96,ac341f1e305da836,gGIv1ceqq6U,UChirEOpgFCupRAk5etXqPaA,2026-03-12 17:58:29+00:00,Ugx1mYfNBD3YbilaLIB4AaABAg.AUG-Wds3dVIAUGIVqHNtcB
97444d62793a1fb4,82f051379b6b33bb,ihU4kWMvxSs,UC_gUM8rL-Lrg6O3adPW9K1g,2026-03-10 09:36:51+00:00,Ugx1rFfzr8lY_8K9UEN4AaABAg.AU6Gy0Z2YEeAUAFW2AZwXe
0526118e3295b56b,636df9c742d754e3,Gk6xm5IuY4w,UCWJOjGOpN8oSVr_OoJLzk9g,2026-05-13 23:12:22+00:00,Ugx2Hz2lwp_xTZGdRFB4AaABAg.AWl8fGuaOf-AWlVi-dbIhE
afc40826af0b7751,71cb25acf8dde51d,zTthqX_vUKo,UC8p1vwvWtl6T73JiExfWs1g,2026-03-17 02:32:46+00:00,Ugx2QLWACE6qvfNzVE94AaABAg.AURG6jYS87xAURWY5HJChY
4832f0b4dcac1ed3,75365779b64a8c41,vwtbGq03znA,UC6-y2wMNk24Fi-J2qbTTYQA,2026-05-08 16:38:07+00:00,Ugx2zwTcgBQKAnDTnWF4AaABAg.AWYKq_xbNErAWYvc2aj49D
b1190a61a311a0fc,372b4697b4702e3e,Q4khQYmHVY4,UCZFMm1mMw0F81Z37aaEzTUA,2026-03-01 20:01:11+00:00,Ugx3GArnk6Vf-zgchqp4AaABAg.ATonxNUJofoATpBnq2J5TA
fd84994a560403c4,7aa0761eee6e7618,OKHFnQt3rVA,UCqTa3sNT6SfiQ2DQK_kuWlA,2026-03-05 18:09:36+00:00,Ugx3X4LthPWbgL3VrF14AaABAg.ATybsqrfdOfATzID8-zLz9
3e0a4baf0ccf8970,afc459f2e960c4ee,gDsWcUMaZjs,UCxBvnCL0amOmZTh2aUe17hw,2026-05-15 14:47:17+00:00,Ugx42YRiZ4eWxR-Y4mh4AaABAg.AWoWbWGcHQnAWpkVQ_Hlnv
8486017eb1aa15bb,5d3b13200472baf8,BpHhN0vqP0k,UCupvZG-5ko_eiXAupbDfxWw,2026-04-16 09:41:21+00:00,Ugx4oORxtG7F4J7Ch1N4AaABAg.AVcRb8U-k_qAVeXRJKxtSg
02cb08ad2119dfdb,5d3b13200472baf8,BpHhN0vqP0k,UCupvZG-5ko_eiXAupbDfxWw,2026-04-17 05:17:09+00:00,Ugx4oORxtG7F4J7Ch1N4AaABAg.AVcRb8U-k_qAVgd-BM5A5j
9f7244a6de26290d,8c22c46d082a2043,maUSmAhsiVw,UCNye-wNBqNL5ZzHSJj3l8Bg,2026-05-04 11:02:53+00:00,Ugx5MMm0jACCvqCtKj14AaABAg.AWNqrWs5I7qAWO14FtllUF
455eaa38cc83d433,8c22c46d082a2043,maUSmAhsiVw,UCNye-wNBqNL5ZzHSJj3l8Bg,2026-05-04 11:29:32+00:00,Ugx5MMm0jACCvqCtKj14AaABAg.AWNqrWs5I7qAWO47Q_dbPx
2de92846c7959da7,8c22c46d082a2043,maUSmAhsiVw,UCNye-wNBqNL5ZzHSJj3l8Bg,2026-05-04 17:38:04+00:00,Ugx5MMm0jACCvqCtKj14AaABAg.AWNqrWs5I7qAWOjIfHBBKO
455eaa38cc83d433,8c22c46d082a2043,maUSmAhsiVw,UCNye-wNBqNL5ZzHSJj3l8Bg,2026-05-04 18:16:50+00:00,Ugx5MMm0jACCvqCtKj14AaABAg.AWNqrWs5I7qAWOnjZipuy7
0556e3ff7d00cb8f,9197180c17e93e49,8HWzSu29WNI,UCIzXayRP7-P0ANpq-nD-h5g,2026-04-20 06:02:34+00:00,Ugx6aOpwWviMPqjMpUx4AaABAg.AVnHGdvd2IbAVoR_PeOHZ4
